transaction_id,product,price,quantity,region
139,Phone,1246,4,Dammam
140,Phone,683,2,Abha
141,Laptop,1726,3,Riyadh
142,Keyboard,716,5,Tabuk
143,Keyboard,1274,1,Jeddah
144,Tablet,1242,5,Dammam
145,Tablet,1881,2,Jeddah
146,Laptop,975,1,Riyadh
147,Phone,504,1,Riyadh
148,Laptop,1937,2,Jeddah
149,Keyboard,515,5,Riyadh
150,Keyboard,1171,3,Jeddah
151,Laptop,1967,4,Tabuk
152,Phone,494,5,Tabuk
153,Tablet,1153,3,Jeddah
154,Keyboard,213,4,Dammam
155,Monitor,681,4,Abha
156,Tablet,1489,3,Jeddah
157,Laptop,727,5,Riyadh
158,Laptop,1264,4,Tabuk
159,Tablet,745,1,Dammam
160,Keyboard,1784,5,Dammam
161,Monitor,109,5,Riyadh
162,Tablet,1471,4,Abha
163,Keyboard,1116,1,Riyadh
164,Tablet,1058,3,Riyadh
165,Laptop,1946,4,Jeddah
166,Monitor,99,4,Abha
167,Monitor,922,4,Tabuk
168,Laptop,296,4,Abha
169,Laptop,877,3,Jeddah
170,Phone,1339,2,Dammam
171,Laptop,1276,4,Tabuk
172,Keyboard,561,1,Tabuk
173,Tablet,292,4,Riyadh
174,Keyboard,1536,4,Abha
175,Laptop,155,4,Jeddah
176,Tablet,1069,4,Abha
177,Phone,1273,2,Dammam
178,Laptop,438,4,Dammam
179,Monitor,785,3,Riyadh
180,Laptop,875,3,Jeddah
181,Monitor,1240,5,Riyadh
182,Monitor,1251,1,Riyadh
183,Tablet,891,5,Riyadh
184,Phone,1398,4,Tabuk
185,Laptop,579,4,Jeddah
186,Keyboard,1453,1,Riyadh
187,Keyboard,1161,1,Dammam
188,Laptop,1229,5,Riyadh
189,Monitor,421,3,Dammam
190,Phone,1701,2,Abha
191,Monitor,451,3,Riyadh
192,Tablet,154,4,Jeddah
193,Keyboard,1000,4,Abha
194,Keyboard,1307,4,Abha
195,Phone,885,2,Abha
196,Phone,364,4,Riyadh
197,Laptop,433,4,Riyadh
198,Laptop,1188,4,Tabuk
199,Monitor,1799,3,Tabuk
200,Phone,1161,2,Jeddah
201,Laptop,375,3,Abha
202,Phone,1577,1,Dammam
203,Keyboard,633,5,Dammam
204,Monitor,433,3,Dammam
205,Keyboard,1029,1,Dammam
206,Monitor,397,4,Jeddah
207,Monitor,522,5,Tabuk
208,Tablet,91,3,Jeddah
209,Phone,944,3,Dammam
210,Phone,535,2,Tabuk
211,Keyboard,1493,2,Dammam
212,Monitor,173,1,Riyadh
213,Tablet,1282,1,Abha
214,Monitor,1408,3,Dammam
215,Laptop,611,5,Abha
216,Laptop,1199,1,Tabuk
217,Phone,1150,1,Tabuk
218,Phone,1758,1,Tabuk
219,Tablet,393,5,Riyadh
220,Keyboard,1524,3,Tabuk
221,Phone,444,1,Tabuk
222,Keyboard,955,4,Tabuk
223,Phone,1177,5,Jeddah
224,Laptop,679,1,Tabuk
225,Phone,1601,1,Jeddah
226,Keyboard,51,2,Dammam
227,Laptop,707,5,Dammam
228,Laptop,1758,1,Tabuk
229,Keyboard,1076,3,Jeddah
230,Tablet,527,5,Dammam
231,Keyboard,1987,3,Dammam
232,Laptop,56,5,Riyadh
233,Tablet,1938,4,Dammam
234,Laptop,1710,1,Riyadh
235,Phone,364,1,Dammam
236,Monitor,1250,1,Riyadh
237,Laptop,1737,2,Jeddah
238,Phone,1637,5,Riyadh
239,Phone,1125,4,Abha
240,Keyboard,1785,1,Dammam
241,Tablet,590,4,Tabuk
242,Tablet,1651,2,Riyadh
243,Monitor,58,4,Dammam
244,Phone,1988,4,Tabuk
245,Laptop,863,4,Abha
246,Tablet,235,3,Riyadh
247,Phone,1286,4,Jeddah
248,Monitor,763,5,Jeddah
249,Phone,1818,3,Abha
250,Tablet,770,3,Tabuk
251,Laptop,832,2,Dammam
252,Monitor,1030,2,Tabuk
253,Keyboard,1049,3,Dammam
254,Phone,1144,3,Tabuk
255,Monitor,464,4,Abha
256,Laptop,1879,1,Abha
257,Laptop,1870,3,Riyadh
258,Monitor,976,2,Jeddah
259,Laptop,1894,1,Riyadh
260,Monitor,1939,4,Riyadh
261,Laptop,1499,4,Riyadh
262,Tablet,284,2,Tabuk
263,Phone,445,3,Tabuk
264,Keyboard,97,2,Riyadh
265,Laptop,1293,1,Abha
266,Keyboard,602,3,Jeddah
267,Phone,1914,4,Jeddah
268,Phone,1240,1,Riyadh
269,Laptop,1195,4,Abha
270,Tablet,1571,3,Jeddah
271,Keyboard,1921,3,Dammam
272,Laptop,264,4,Tabuk
273,Tablet,1907,2,Tabuk
274,Laptop,448,2,Dammam
275,Monitor,1332,2,Tabuk
276,Keyboard,1539,5,Riyadh
277,Keyboard,1103,3,Dammam
278,Laptop,1693,3,Dammam
279,Laptop,1173,2,Abha
280,Monitor,1088,4,Abha
281,Monitor,766,4,Dammam
282,Phone,898,5,Riyadh
283,Tablet,709,5,Dammam
284,Tablet,102,4,Riyadh
285,Monitor,944,4,Dammam
286,Tablet,825,2,Tabuk
287,Keyboard,1593,5,Tabuk
288,Tablet,975,2,Riyadh
289,Monitor,501,1,Abha
290,Laptop,1029,5,Abha
291,Phone,822,2,Jeddah
292,Keyboard,447,1,Dammam
293,Tablet,242,4,Jeddah
294,Tablet,1239,5,Abha
295,Keyboard,432,3,Dammam
296,Tablet,1894,5,Riyadh
297,Monitor,1998,5,Tabuk
298,Tablet,1410,1,Dammam
299,Phone,1375,2,Abha
300,Laptop,1806,5,Abha
301,Phone,804,1,Dammam
302,Laptop,1388,3,Abha
303,Phone,366,3,Jeddah
304,Laptop,54,2,Jeddah
305,Tablet,52,3,Tabuk
306,Keyboard,1489,3,Abha
307,Keyboard,51,1,Abha
308,Laptop,118,1,Riyadh
309,Keyboard,817,2,Abha
310,Monitor,1581,3,Abha
311,Tablet,1228,4,Dammam
312,Keyboard,539,2,Jeddah
313,Keyboard,1826,4,Riyadh
314,Phone,1969,1,Tabuk
315,Monitor,1526,1,Tabuk
316,Laptop,389,1,Jeddah
317,Phone,865,1,Jeddah
318,Laptop,1553,4,Dammam
319,Monitor,1829,4,Dammam
320,Phone,669,1,Tabuk
321,Monitor,1437,1,Riyadh
322,Tablet,714,5,Riyadh
323,Tablet,1506,3,Dammam
324,Keyboard,1110,5,Dammam
325,Laptop,531,2,Abha
326,Tablet,1814,4,Abha
327,Tablet,1785,1,Tabuk
328,Keyboard,1739,5,Riyadh
329,Monitor,275,3,Tabuk
330,Laptop,120,2,Dammam
331,Tablet,1510,3,Dammam
332,Keyboard,1493,2,Abha
333,Keyboard,1012,4,Riyadh
334,Keyboard,1356,4,Abha
335,Keyboard,1562,4,Riyadh
336,Keyboard,1244,5,Abha
337,Laptop,1625,1,Riyadh
338,Monitor,1124,2,Abha
339,Monitor,1689,5,Riyadh
340,Phone,314,1,Tabuk
341,Laptop,846,4,Dammam
342,Phone,1510,5,Dammam
343,Monitor,1200,2,Dammam
344,Monitor,827,5,Tabuk
345,Phone,1081,4,Abha
346,Keyboard,674,1,Jeddah
347,Laptop,1432,4,Tabuk
348,Tablet,373,5,Abha
349,Monitor,246,1,Jeddah
350,Keyboard,406,4,Abha
351,Monitor,887,1,Riyadh
352,Laptop,1199,1,Riyadh
353,Tablet,300,1,Dammam
354,Monitor,1353,1,Abha
355,Tablet,127,2,Tabuk
356,Phone,1520,2,Tabuk
357,Keyboard,397,5,Abha
358,Tablet,75,1,Abha
359,Tablet,389,5,Jeddah
360,Monitor,1723,1,Dammam
361,Monitor,127,3,Jeddah
362,Keyboard,1779,3,Tabuk
363,Tablet,55,5,Riyadh
364,Tablet,953,3,Dammam
365,Monitor,1456,3,Dammam
366,Phone,285,1,Jeddah
367,Phone,353,2,Riyadh
368,Tablet,1708,2,Riyadh
369,Phone,592,5,Riyadh
370,Phone,1406,2,Dammam
371,Keyboard,1435,3,Jeddah
372,Laptop,1028,3,Tabuk
373,Laptop,1384,3,Riyadh
374,Phone,539,2,Jeddah
375,Phone,579,4,Abha
376,Laptop,617,3,Riyadh
377,Monitor,1487,3,Tabuk
378,Phone,776,3,Tabuk
379,Tablet,1789,5,Tabuk
380,Monitor,702,4,Abha
381,Keyboard,1394,1,Jeddah
382,Phone,357,1,Riyadh
383,Phone,226,4,Jeddah
384,Laptop,1035,5,Dammam
385,Keyboard,450,5,Riyadh
386,Phone,589,3,Jeddah
387,Laptop,1547,3,Abha
388,Laptop,1946,2,Jeddah
389,Monitor,1435,1,Jeddah
390,Laptop,1363,4,Riyadh
391,Tablet,1087,2,Riyadh
392,Laptop,1871,5,Tabuk
393,Phone,1956,5,Jeddah
394,Phone,1756,2,Riyadh
395,Keyboard,97,4,Jeddah
396,Keyboard,306,2,Riyadh
397,Tablet,50,1,Tabuk
398,Phone,774,4,Riyadh
399,Phone,1994,1,Abha
400,Tablet,1505,5,Tabuk
401,Tablet,524,5,Dammam
402,Keyboard,1223,5,Tabuk
403,Tablet,1746,5,Tabuk
404,Monitor,1063,2,Riyadh
405,Monitor,1561,5,Jeddah
406,Tablet,1400,4,Abha
407,Monitor,1487,5,Dammam
408,Phone,828,1,Dammam
409,Phone,359,2,Tabuk
410,Tablet,1943,1,Riyadh
411,Tablet,90,4,Abha
412,Monitor,927,4,Dammam
413,Laptop,160,2,Jeddah
414,Tablet,1343,1,Dammam
415,Tablet,75,1,Dammam
416,Phone,1705,4,Jeddah
417,Laptop,448,4,Riyadh
418,Monitor,124,5,Jeddah
419,Laptop,1648,3,Abha
420,Monitor,1356,2,Dammam
421,Monitor,703,1,Jeddah
422,Tablet,300,5,Dammam
423,Phone,866,3,Abha
424,Tablet,660,2,Jeddah
425,Tablet,1516,5,Dammam
426,Tablet,1521,3,Jeddah
427,Laptop,1719,2,Riyadh
428,Keyboard,1427,4,Jeddah
429,Phone,1465,1,Tabuk
430,Tablet,1306,5,Jeddah
431,Monitor,1784,2,Tabuk
432,Phone,1738,5,Riyadh
433,Tablet,1199,1,Dammam
434,Tablet,1789,1,Tabuk
435,Laptop,1139,4,Jeddah
436,Phone,1362,3,Jeddah
437,Tablet,250,5,Abha
438,Phone,456,2,Riyadh
439,Tablet,307,3,Dammam
440,Keyboard,1424,3,Riyadh
441,Tablet,728,4,Abha
442,Tablet,555,5,Jeddah
443,Tablet,1245,3,Dammam
444,Tablet,1177,3,Jeddah
445,Monitor,391,5,Tabuk
446,Keyboard,157,5,Abha
447,Phone,837,4,Tabuk
448,Phone,686,2,Tabuk
449,Tablet,434,2,Riyadh
450,Keyboard,1308,3,Tabuk
451,Phone,851,1,Tabuk
452,Tablet,246,3,Riyadh
453,Keyboard,914,2,Jeddah
454,Phone,102,3,Jeddah
455,Tablet,396,5,Dammam
456,Monitor,1967,5,Dammam
457,Keyboard,734,4,Abha
458,Monitor,199,1,Tabuk
459,Laptop,1257,3,Dammam
460,Tablet,1132,3,Riyadh
461,Phone,418,1,Dammam
462,Phone,600,4,Dammam
463,Phone,1603,3,Jeddah
464,Tablet,1368,3,Jeddah
465,Monitor,1832,1,Abha
466,Laptop,955,1,Jeddah
467,Phone,382,2,Riyadh
468,Tablet,1859,2,Abha
469,Laptop,1594,5,Abha
470,Phone,1717,5,Abha
471,Keyboard,664,4,Dammam
472,Tablet,109,1,Jeddah
473,Keyboard,1776,5,Abha
474,Tablet,558,3,Tabuk
475,Phone,650,1,Riyadh
476,Monitor,1779,3,Dammam
477,Keyboard,1553,4,Riyadh
478,Tablet,1549,3,Jeddah
479,Monitor,608,3,Tabuk
480,Monitor,1260,4,Jeddah
481,Tablet,1348,4,Riyadh
482,Tablet,869,5,Tabuk
483,Monitor,500,1,Tabuk
484,Keyboard,1538,2,Tabuk
485,Monitor,1052,3,Tabuk
486,Monitor,1608,4,Dammam
487,Keyboard,697,2,Riyadh
488,Tablet,1274,3,Tabuk
489,Keyboard,750,5,Tabuk
490,Laptop,940,5,Dammam
491,Monitor,1242,3,Abha
492,Laptop,1586,3,Jeddah
493,Laptop,446,2,Abha
494,Tablet,277,4,Dammam
495,Keyboard,1765,5,Tabuk
496,Monitor,651,4,Riyadh
497,Tablet,656,2,Dammam
498,Laptop,1340,2,Dammam
499,Keyboard,1115,5,Jeddah
500,Monitor,1595,3,Riyadh
501,Tablet,1517,5,Riyadh
502,Tablet,1621,5,Dammam
503,Laptop,1489,1,Tabuk
504,Phone,834,4,Dammam
505,Laptop,1523,4,Jeddah
506,Keyboard,1497,2,Dammam
507,Tablet,663,4,Dammam
508,Monitor,795,5,Jeddah
509,Monitor,1566,3,Riyadh
510,Monitor,1575,1,Abha
511,Monitor,877,4,Abha
512,Keyboard,1401,5,Abha
513,Monitor,1349,2,Dammam
514,Phone,869,4,Riyadh
515,Keyboard,779,4,Abha
516,Keyboard,1658,3,Abha
517,Phone,107,1,Dammam
518,Laptop,1434,2,Riyadh
519,Monitor,1367,4,Abha
520,Laptop,490,4,Tabuk
521,Tablet,1022,2,Jeddah
522,Laptop,717,5,Dammam
523,Laptop,534,5,Tabuk
524,Tablet,1681,1,Tabuk
525,Laptop,952,3,Tabuk
526,Tablet,1429,1,Abha
527,Laptop,669,5,Jeddah
528,Laptop,185,4,Abha
529,Monitor,1473,5,Riyadh
530,Keyboard,543,4,Abha
531,Tablet,1269,3,Tabuk
532,Monitor,1481,3,Riyadh
533,Tablet,1337,1,Tabuk
534,Laptop,783,4,Dammam
535,Laptop,1699,3,Jeddah
536,Monitor,1290,2,Dammam
537,Phone,888,1,Dammam
538,Monitor,766,5,Tabuk
539,Keyboard,1143,2,Tabuk
540,Keyboard,1910,5,Jeddah
541,Tablet,1552,2,Riyadh
542,Tablet,854,5,Dammam
543,Laptop,377,1,Dammam
544,Keyboard,143,1,Tabuk
545,Keyboard,749,1,Tabuk
546,Keyboard,1995,1,Abha
547,Tablet,1056,1,Abha
548,Laptop,767,4,Abha
549,Tablet,1409,4,Riyadh
550,Monitor,309,1,Tabuk
551,Tablet,1460,5,Tabuk
552,Keyboard,1725,2,Dammam
553,Phone,1985,3,Tabuk
554,Tablet,832,5,Dammam
555,Tablet,1554,3,Dammam
556,Keyboard,459,5,Dammam
557,Laptop,1414,3,Dammam
558,Monitor,1218,5,Dammam
559,Keyboard,274,4,Dammam
560,Laptop,1265,1,Riyadh
561,Tablet,51,4,Dammam
562,Monitor,1348,4,Dammam
563,Phone,1374,3,Riyadh
564,Laptop,1525,2,Abha
565,Keyboard,1845,5,Riyadh
566,Laptop,1656,1,Jeddah
567,Tablet,1203,2,Jeddah
568,Keyboard,554,1,Jeddah
569,Tablet,1454,4,Abha
570,Tablet,431,2,Abha
571,Phone,933,5,Tabuk
572,Laptop,1090,3,Tabuk
573,Keyboard,932,2,Tabuk
574,Laptop,621,3,Riyadh
575,Tablet,673,3,Tabuk
576,Laptop,1837,2,Abha
577,Laptop,1294,1,Tabuk
578,Phone,1472,1,Riyadh
579,Laptop,1512,5,Tabuk
580,Monitor,1528,1,Jeddah
581,Monitor,1151,5,Jeddah
582,Phone,1187,5,Jeddah
583,Laptop,1875,5,Riyadh
584,Monitor,958,5,Dammam
585,Laptop,1027,1,Abha
586,Monitor,1287,4,Jeddah
587,Keyboard,294,4,Abha
588,Laptop,1318,5,Dammam
589,Tablet,1409,5,Jeddah
590,Laptop,971,4,Tabuk
591,Tablet,1565,2,Jeddah
592,Tablet,1595,5,Dammam
593,Tablet,1066,4,Abha
594,Phone,1262,1,Abha
595,Keyboard,1207,5,Abha
596,Tablet,1863,5,Riyadh
597,Tablet,152,4,Riyadh
598,Laptop,1501,1,Jeddah
599,Phone,954,5,Abha
600,Laptop,586,2,Riyadh
601,Tablet,1375,1,Dammam
602,Phone,442,1,Riyadh
603,Tablet,102,2,Tabuk
604,Tablet,1084,5,Dammam
605,Laptop,1182,3,Tabuk
606,Keyboard,1492,1,Riyadh
607,Phone,1796,3,Riyadh
608,Monitor,588,2,Riyadh
609,Phone,477,2,Dammam
610,Tablet,253,4,Riyadh
611,Laptop,1679,1,Jeddah
612,Keyboard,1836,1,Dammam
613,Tablet,1001,5,Abha
614,Phone,1231,5,Riyadh
615,Phone,1234,3,Abha
616,Keyboard,1601,2,Jeddah
617,Laptop,371,4,Jeddah
618,Keyboard,526,3,Tabuk
619,Phone,1047,5,Dammam
620,Monitor,634,3,Tabuk
621,Keyboard,521,2,Abha
622,Tablet,76,4,Tabuk
623,Keyboard,291,1,Dammam
624,Laptop,1972,3,Jeddah
625,Monitor,946,5,Riyadh
626,Tablet,799,2,Dammam
627,Tablet,1490,4,Tabuk
628,Monitor,1502,2,Dammam
629,Keyboard,396,4,Riyadh
630,Laptop,1714,4,Abha
631,Laptop,1333,1,Jeddah
632,Monitor,1124,3,Dammam
633,Keyboard,1542,5,Tabuk
634,Phone,1890,4,Jeddah
635,Monitor,1758,5,Abha
636,Phone,586,2,Dammam
637,Tablet,976,5,Jeddah
638,Phone,187,5,Dammam
639,Monitor,1222,4,Tabuk
640,Laptop,536,1,Tabuk
641,Monitor,1082,4,Riyadh
642,Tablet,438,5,Jeddah
643,Laptop,425,5,Dammam
644,Monitor,1580,1,Tabuk
645,Laptop,1205,4,Riyadh
646,Monitor,242,5,Jeddah
647,Phone,1922,5,Riyadh
648,Monitor,110,2,Jeddah
649,Phone,1257,1,Abha
650,Monitor,409,3,Jeddah
651,Keyboard,1602,1,Riyadh
652,Phone,1711,3,Dammam
653,Monitor,666,2,Riyadh
654,Phone,395,3,Tabuk
655,Laptop,408,1,Riyadh
656,Keyboard,1996,3,Tabuk
657,Tablet,579,5,Riyadh
658,Tablet,1040,1,Abha
659,Phone,1675,1,Jeddah
660,Tablet,952,1,Abha
661,Keyboard,203,3,Tabuk
662,Monitor,1592,1,Jeddah
663,Tablet,1551,2,Riyadh
664,Keyboard,1782,3,Jeddah
665,Laptop,234,1,Riyadh
666,Laptop,1073,5,Riyadh
667,Keyboard,761,4,Dammam
668,Monitor,951,3,Jeddah
669,Keyboard,1449,2,Dammam
670,Keyboard,999,2,Jeddah
671,Laptop,300,2,Riyadh
672,Phone,1208,5,Abha
673,Laptop,1140,5,Jeddah
674,Phone,974,5,Jeddah
675,Monitor,194,2,Jeddah
676,Tablet,996,3,Jeddah
677,Monitor,1244,3,Tabuk
678,Monitor,319,2,Dammam
679,Keyboard,1668,2,Tabuk
680,Phone,1927,5,Dammam
681,Tablet,1688,5,Jeddah
682,Monitor,1652,5,Tabuk
683,Phone,1166,3,Riyadh
684,Keyboard,1049,4,Jeddah
685,Monitor,654,2,Tabuk
686,Keyboard,152,5,Dammam
687,Monitor,1320,3,Abha
688,Monitor,1502,3,Jeddah
689,Laptop,476,4,Abha
690,Keyboard,935,3,Jeddah
691,Laptop,212,3,Jeddah
692,Monitor,1140,1,Tabuk
693,Tablet,1913,2,Riyadh
694,Tablet,1033,5,Jeddah
695,Laptop,1571,2,Jeddah
696,Keyboard,240,2,Dammam
697,Monitor,1281,2,Abha
698,Laptop,538,4,Jeddah
699,Tablet,1907,3,Jeddah
700,Laptop,214,3,Riyadh
701,Monitor,1307,4,Jeddah
702,Monitor,1041,2,Abha
703,Keyboard,492,1,Riyadh
704,Phone,396,1,Riyadh
705,Keyboard,1927,5,Dammam
706,Monitor,1671,3,Tabuk
707,Keyboard,1745,2,Riyadh
708,Monitor,307,1,Riyadh
709,Laptop,517,5,Riyadh
710,Keyboard,1594,5,Riyadh
711,Laptop,459,4,Riyadh
712,Tablet,813,5,Jeddah
713,Phone,256,1,Riyadh
714,Keyboard,592,4,Riyadh
715,Keyboard,1329,4,Jeddah
716,Laptop,1667,1,Riyadh
717,Keyboard,488,5,Riyadh
718,Tablet,1171,2,Jeddah
719,Phone,1477,2,Dammam
720,Keyboard,778,3,Dammam
721,Laptop,1237,3,Tabuk
722,Phone,403,4,Tabuk
723,Keyboard,1440,3,Dammam
724,Keyboard,905,4,Abha
725,Tablet,1954,4,Jeddah
726,Laptop,818,2,Jeddah
727,Monitor,1640,3,Riyadh
728,Keyboard,1472,2,Tabuk
729,Laptop,1042,4,Jeddah
730,Monitor,716,1,Jeddah
731,Laptop,1507,5,Abha
732,Phone,906,5,Jeddah
733,Laptop,846,3,Abha
734,Keyboard,1242,5,Jeddah
735,Monitor,405,4,Abha
736,Phone,1077,1,Jeddah
737,Phone,1427,3,Riyadh
738,Tablet,367,3,Riyadh
739,Phone,1898,5,Riyadh
740,Monitor,381,2,Tabuk
741,Monitor,662,5,Abha
742,Phone,1557,3,Jeddah
743,Laptop,1717,4,Abha
744,Monitor,436,1,Riyadh
745,Phone,173,1,Jeddah
746,Laptop,1077,1,Tabuk
747,Tablet,1068,4,Dammam
748,Laptop,913,4,Riyadh
749,Monitor,1660,5,Riyadh
750,Laptop,355,1,Riyadh
751,Keyboard,666,3,Riyadh
752,Keyboard,313,3,Dammam
753,Laptop,1869,5,Jeddah
754,Laptop,726,2,Tabuk
755,Tablet,988,3,Jeddah
756,Keyboard,668,4,Tabuk
757,Phone,295,2,Jeddah
758,Monitor,475,5,Jeddah
759,Laptop,1412,3,Jeddah
760,Tablet,440,3,Riyadh
761,Tablet,122,5,Jeddah
762,Laptop,625,5,Abha
763,Keyboard,399,5,Tabuk
764,Phone,1751,1,Jeddah
765,Monitor,970,4,Dammam
766,Keyboard,112,2,Tabuk
767,Phone,854,1,Abha
768,Tablet,230,3,Riyadh
769,Monitor,1555,2,Abha
770,Phone,1117,2,Tabuk
771,Monitor,1293,2,Abha
772,Tablet,1049,3,Riyadh
773,Keyboard,771,3,Jeddah
774,Tablet,951,4,Dammam
775,Phone,245,5,Tabuk
776,Keyboard,1705,5,Tabuk
777,Tablet,988,2,Riyadh
778,Keyboard,406,2,Riyadh
779,Tablet,1146,4,Jeddah
780,Laptop,1676,3,Tabuk
781,Laptop,1915,3,Jeddah
782,Laptop,371,2,Abha
783,Phone,572,4,Dammam
784,Laptop,1377,3,Riyadh
785,Keyboard,162,3,Jeddah
786,Tablet,831,5,Dammam
787,Monitor,1809,2,Abha
788,Laptop,1468,2,Abha
789,Monitor,1343,1,Riyadh
790,Phone,448,3,Riyadh
791,Keyboard,1310,1,Riyadh
792,Keyboard,494,5,Riyadh
793,Keyboard,1584,5,Tabuk
794,Keyboard,1797,3,Riyadh
795,Monitor,158,3,Dammam
796,Phone,1484,5,Jeddah
797,Monitor,1832,5,Dammam
798,Tablet,868,3,Riyadh
799,Monitor,570,4,Dammam
800,Laptop,1516,2,Tabuk
801,Phone,1010,2,Jeddah
802,Keyboard,1568,3,Dammam
803,Monitor,196,1,Jeddah
804,Monitor,1808,1,Abha
805,Laptop,850,4,Tabuk
806,Laptop,404,3,Riyadh
807,Phone,1706,2,Abha
808,Laptop,660,2,Abha
809,Laptop,1751,5,Dammam
810,Tablet,1996,2,Abha
811,Keyboard,1520,1,Abha
812,Keyboard,1947,5,Jeddah
813,Keyboard,1359,5,Tabuk
814,Laptop,782,3,Riyadh
815,Monitor,1006,3,Tabuk
816,Phone,387,5,Abha
817,Tablet,1875,2,Abha
818,Phone,588,3,Abha
819,Keyboard,750,5,Abha
820,Tablet,1715,3,Dammam
821,Monitor,1151,2,Tabuk
822,Phone,1145,4,Riyadh
823,Laptop,1585,4,Dammam
